entry_id,date,account_code,account_name,description,debit,credit,vendor_or_customer,posted_by
FR-001,2024-01-02,1000,Cash,Beginning cash balance,150000.00,0,Opening Balance,system
FR-002,2024-01-02,3100,Retained Earnings,Beginning retained earnings,0,150000.00,Opening Balance,system
FR-003,2024-01-15,4000,Revenue,Large sale to related party,0,250000.00,Smith Holdings LLC,cfo
FR-004,2024-01-15,1100,Accounts Receivable,Related party receivable,250000.00,0,Smith Holdings LLC,cfo
FR-005,2024-01-20,6000,Salaries,January payroll,85000.00,0,Payroll,hr
FR-006,2024-01-20,1000,Cash,January payroll,0,85000.00,Payroll,hr
FR-007,2024-01-25,6400,Consulting Fees,Management consulting - offshore,50000.00,0,Caribbean Consulting Ltd,cfo
FR-008,2024-01-25,1000,Cash,Wire transfer - offshore,0,50000.00,Caribbean Consulting Ltd,cfo
FR-009,2024-01-31,4000,Revenue,Revenue from channel partner,0,175000.00,Global Distribution Inc,sales
FR-010,2024-01-31,1100,Accounts Receivable,Channel partner receivable,175000.00,0,Global Distribution Inc,sales
FR-011,2024-02-01,6400,Consulting Fees,Strategy consulting,49999.00,0,Apex Advisory Group,cfo
FR-012,2024-02-01,1000,Cash,Consulting payment,0,49999.00,Apex Advisory Group,cfo
FR-013,2024-02-05,6400,Consulting Fees,Market research,49998.00,0,Premier Research Inc,cfo
FR-014,2024-02-05,1000,Cash,Research payment,0,49998.00,Premier Research Inc,cfo
FR-015,2024-02-10,6400,Consulting Fees,Technology consulting,49997.00,0,TechAdvisor LLC,cfo
FR-016,2024-02-10,1000,Cash,Tech consulting payment,0,49997.00,TechAdvisor LLC,cfo
FR-017,2024-02-15,6000,Salaries,February payroll,85000.00,0,Payroll,hr
FR-018,2024-02-15,1000,Cash,February payroll,0,85000.00,Payroll,hr
FR-019,2024-02-28,1100,Accounts Receivable,Customer invoice - prepaid,100000.00,0,Future Tech Corp,sales
FR-020,2024-02-28,4000,Revenue,Prepaid contract revenue (not delivered),0,100000.00,Future Tech Corp,sales
FR-021,2024-03-01,6100,Office Supplies,Equipment purchase,75000.00,0,Equipment Leasing Co,purchasing
FR-022,2024-03-01,1000,Cash,Equipment payment,0,75000.00,Equipment Leasing Co,purchasing
FR-023,2024-03-10,1000,Cash,Customer payment,50000.00,0,Quick Pay Customer,ar
FR-024,2024-03-10,1100,Accounts Receivable,Customer payment,0,50000.00,Quick Pay Customer,ar
FR-025,2024-03-15,6000,Salaries,March payroll,85000.00,0,Payroll,hr
FR-026,2024-03-15,1000,Cash,March payroll,0,85000.00,Payroll,hr
FR-027,2024-03-20,6200,Marketing,Trade show expenses,25000.00,0,Event Corp,marketing
FR-028,2024-03-20,1000,Cash,Trade show payment,0,25000.00,Event Corp,marketing
FR-029,2024-03-25,6400,Consulting Fees,Special project consulting,50000.00,0,Shadow Consulting LLC,cfo
FR-030,2024-03-25,1000,Cash,Special project payment,0,50000.00,Shadow Consulting LLC,cfo
FR-031,2024-03-31,4000,Revenue,Quarter-end revenue adjustment,0,200000.00,Various Customers,cfo
FR-032,2024-03-31,1100,Accounts Receivable,Quarter-end receivables,200000.00,0,Various Customers,cfo
FR-033,2024-03-31,1100,Accounts Receivable,Reverse Smith Holdings,0,250000.00,Smith Holdings LLC,cfo
FR-034,2024-03-31,4000,Revenue,Reverse related party sale,250000.00,0,Smith Holdings LLC,cfo
FR-035,2024-03-31,4000,Revenue,Re-record Smith sale at quarter end,0,275000.00,Smith Holdings LLC,cfo
FR-036,2024-03-31,1100,Accounts Receivable,Re-record at higher amount,275000.00,0,Smith Holdings LLC,cfo
